order_id,customer_id,courier_id,region,order_time,delivery_time,total_amount,customer_rating
1,31,8,Uptown,2025-04-04 07:32:31,2025-04-04 07:50:31,72.52,4.0
2,115,11,Westside,2025-04-06 22:16:05,2025-04-06 22:39:05,54.78,1.0
3,277,19,Suburbs,2025-03-26 01:58:08,2025-03-26 03:01:08,28.02,
4,36,48,Downtown,2025-03-16 18:13:22,2025-03-16 18:57:22,62.61,4.0
5,46,18,Westside,2025-04-04 17:56:41,2025-04-04 18:39:41,92.42,
6,82,36,Downtown,2025-04-06 02:27:00,2025-04-06 03:20:00,32.36,
7,76,7,Eastside,2025-03-20 10:34:02,2025-03-20 11:36:02,67.22,1.0
8,297,38,Westside,2025-04-08 10:01:12,2025-04-08 11:31:12,76.52,4.0
9,300,7,Suburbs,2025-04-05 02:49:50,2025-04-05 03:30:50,61.86,3.0
10,50,31,Eastside,2025-03-15 02:51:22,2025-03-15 04:19:22,112.88,
11,180,34,Westside,2025-03-18 12:37:45,2025-03-18 13:05:45,40.23,2.0
12,20,8,Downtown,2025-03-30 16:59:37,2025-03-30 18:28:37,43.72,5.0
13,298,13,Westside,2025-03-24 07:01:44,2025-03-24 07:20:44,67.88,3.0
14,157,31,Westside,2025-03-14 07:39:48,2025-03-14 08:37:48,35.04,3.0
15,114,40,Suburbs,2025-03-14 12:51:40,2025-03-14 13:31:40,21.49,4.0
16,215,44,Downtown,2025-04-02 18:11:24,2025-04-02 19:08:24,16.03,2.0
17,115,4,Uptown,2025-04-08 23:40:30,2025-04-09 01:06:30,37.52,5.0
18,29,45,Uptown,2025-03-15 23:56:20,2025-03-16 01:05:20,106.69,1.0
19,117,14,Uptown,2025-04-07 11:58:18,2025-04-07 13:16:18,44.11,3.0
20,212,40,Eastside,2025-03-17 07:50:39,2025-03-17 08:45:39,101.31,1.0
21,192,32,Uptown,2025-03-17 00:28:21,2025-03-17 01:11:21,85.84,4.0
22,117,30,Eastside,2025-04-01 03:34:37,2025-04-01 04:13:37,105.96,4.0
23,95,24,Westside,2025-03-23 06:09:33,2025-03-23 07:08:33,100.55,4.0
24,260,11,Uptown,2025-04-05 16:15:05,2025-04-05 17:09:05,69.76,1.0
25,134,23,Eastside,2025-03-22 02:33:56,2025-03-22 03:55:56,61.89,4.0
26,36,22,Downtown,2025-04-08 17:38:11,2025-04-08 18:02:11,52.68,1.0
27,169,10,Downtown,2025-03-26 03:16:37,2025-03-26 04:30:37,28.86,5.0
28,289,28,Uptown,2025-03-16 16:09:04,2025-03-16 17:27:04,42.06,5.0
29,258,38,Uptown,2025-04-05 06:38:00,2025-04-05 08:03:00,59.8,2.0
30,44,36,Downtown,2025-03-15 12:11:12,2025-03-15 13:37:12,80.79,4.0
31,134,2,Downtown,2025-03-12 12:06:01,2025-03-12 13:30:01,108.71,4.0
32,57,36,Suburbs,2025-03-25 05:50:23,2025-03-25 07:19:23,49.85,
33,252,48,Uptown,2025-03-15 04:45:43,2025-03-15 05:04:43,23.27,2.0
34,239,35,Downtown,2025-04-03 16:00:14,2025-04-03 16:38:14,18.74,1.0
35,213,3,Uptown,2025-04-03 13:11:32,2025-04-03 14:26:32,36.37,
36,188,14,Suburbs,2025-03-19 16:26:09,2025-03-19 16:53:09,113.02,2.0
37,122,41,Suburbs,2025-04-01 04:50:29,2025-04-01 05:26:29,106.93,2.0
38,95,33,Downtown,2025-03-20 19:50:13,2025-03-20 20:13:13,99.62,1.0
39,248,27,Suburbs,2025-03-28 03:38:54,2025-03-28 04:02:54,65.47,4.0
40,19,15,Eastside,2025-03-13 07:39:28,2025-03-13 09:08:28,85.92,3.0
41,264,19,Uptown,2025-04-05 11:44:49,2025-04-05 13:10:49,119.26,3.0
42,5,34,Westside,2025-03-21 00:05:51,2025-03-21 00:46:51,32.74,3.0
43,100,39,Uptown,2025-04-08 16:18:34,2025-04-08 17:29:34,36.29,4.0
44,48,46,Uptown,2025-04-04 17:17:55,2025-04-04 18:08:55,105.19,5.0
45,204,12,Downtown,2025-03-11 05:12:53,2025-03-11 06:35:53,27.05,3.0
46,68,4,Westside,2025-04-07 17:31:54,2025-04-07 18:13:54,83.77,
47,8,40,Westside,2025-03-27 03:46:27,2025-03-27 04:57:27,89.83,3.0
48,76,25,Downtown,2025-03-28 08:06:39,2025-03-28 08:40:39,113.29,2.0
49,271,17,Uptown,2025-03-13 05:46:44,2025-03-13 06:55:44,32.14,5.0
50,138,46,Uptown,2025-03-13 18:51:50,2025-03-13 19:10:50,81.49,2.0
51,93,29,Uptown,2025-03-26 03:06:31,2025-03-26 03:41:31,119.89,
52,181,5,Uptown,2025-04-01 22:44:41,2025-04-01 23:17:41,94.04,4.0
53,34,3,Uptown,2025-03-25 17:51:27,2025-03-25 18:50:27,25.64,1.0
